Date,Country,Status,AQI Value
2023-04-13,Ecuador,Moderate,52
2023-04-13,Egypt,Moderate,56
2023-04-13,El Salvador,Moderate,96
2023-04-13,Estonia,Good,34
2023-04-13,Ethiopia,Moderate,95
2023-04-13,Finland,Moderate,63
2023-04-13,France,Good,45
2023-04-13,French Guiana,Good,16
2023-04-13,Gabon,Moderate,62
2023-04-13,Georgia,Moderate,79
2023-04-13,Germany,Good,41
2023-04-13,Ghana,Moderate,67
2023-04-13,Gibraltar,Good,17
2023-04-13,Greece,Moderate,54
2023-04-13,Grenada,Good,8
2023-04-13,Guadeloupe,Good,12
2023-04-13,Guam,Good,4
2023-04-13,Guatemala,Moderate,99
2023-04-13,Honduras,Unhealthy,179
2023-04-13,Hong Kong,Moderate,82
2023-04-13,Iceland,Good,12
2023-04-13,India,Very Unhealthy,231
2023-04-13,Indonesia,Moderate,75
2023-04-13,Iran,Unhealthy for Sensitive Groups,123
2023-04-13,Iraq,Moderate,82
2023-04-13,Ireland,Good,31
2023-04-13,Israel,Moderate,52
2023-04-13,Italy,Moderate,59
2023-04-13,Ivory Coast,Unhealthy for Sensitive Groups,107
2023-04-13,Japan,Unhealthy for Sensitive Groups,118
2023-04-13,Jersey,Good,22
2023-04-13,Jordan,Good,25
2023-04-13,Kazakhstan,Moderate,79
2023-04-13,Kenya,Unhealthy for Sensitive Groups,101
2023-04-13,Kosovo,Good,37
2023-04-13,Kuwait,Unhealthy for Sensitive Groups,111
2023-04-13,Kyrgyzstan,Good,48
2023-04-13,Laos,Very Unhealthy,205
2023-04-13,Latvia,Moderate,53
2023-04-13,Lebanon,Moderate,60
2023-04-13,Liberia,Good,40
2023-04-13,Liechtenstein,Good,4
2023-04-13,Lithuania,Good,30
2023-04-13,Luxembourg,Good,27
2023-04-13,Macao,Moderate,80
2023-04-13,Macedonia,Moderate,69
2023-04-13,Madagascar,Moderate,67
2023-04-13,Malaysia,Moderate,99
2023-04-13,Malta,Moderate,54
2023-04-13,Martinique,Good,20
2023-04-13,Mexico,Unhealthy for Sensitive Groups,127
2023-04-13,Moldova,Good,33
2023-04-13,Monaco,Good,24
2023-04-13,Mongolia,Moderate,75
2023-04-13,Montenegro,Moderate,68
2023-04-13,Myanmar,Hazardous,306
2023-04-13,Nepal,Unhealthy,200
2023-04-13,Netherlands,Good,31
2023-04-13,New Caledonia,Good,22
2023-04-13,New Zealand,Good,16
2023-04-13,Nigeria,Unhealthy for Sensitive Groups,110
2023-04-13,Norway,Moderate,56
2023-04-13,Pakistan,Moderate,98
2023-04-13,Palestinian Territory,Good,31
2023-04-13,Peru,Good,47
2023-04-13,Philippines,Moderate,98
2023-04-13,Poland,Unhealthy for Sensitive Groups,103
2023-04-13,Portugal,Good,30
2023-04-13,Puerto Rico,Good,10
2023-04-13,Qatar,Moderate,77
2023-04-13,Reunion,Good,12
2023-04-13,Romania,Moderate,94
2023-04-13,Russia,Moderate,96
2023-04-13,San Marino,Good,39
2023-04-13,Saudi Arabia,Moderate,88
2023-04-13,Senegal,Good,39
2023-04-13,Serbia,Unhealthy for Sensitive Groups,102
2023-04-13,Singapore,Moderate,86
2023-04-13,Slovakia,Moderate,63
2023-04-13,Slovenia,Moderate,53
2023-04-13,South Africa,Unhealthy for Sensitive Groups,117
2023-04-13,South Korea,Unhealthy for Sensitive Groups,149
2023-04-13,Spain,Moderate,92
2023-04-13,Sri Lanka,Unhealthy for Sensitive Groups,101
2023-04-13,Sudan,Unhealthy,182
2023-04-13,Sweden,Moderate,57
2023-04-13,Switzerland,Good,27
2023-04-13,Taiwan,Unhealthy for Sensitive Groups,133
2023-04-13,Tajikistan,Moderate,70
2023-04-13,Thailand,Very Unhealthy,300
2023-04-13,Togo,Unhealthy for Sensitive Groups,129
2023-04-13,Trinidad and Tobago,Good,28
2023-04-13,Turkey,Moderate,83
2023-04-13,Turkmenistan,Unhealthy for Sensitive Groups,129
2023-04-13,Uganda,Moderate,72
2023-04-13,Ukraine,Moderate,77
2023-04-13,United Arab Emirates,Unhealthy,194
2023-04-13,United Kingdom of Great Britain and Northern Ireland,Good,44
2023-04-13,United States of America,Unhealthy for Sensitive Groups,123
2023-04-13,Uzbekistan,Good,44
2023-04-13,Vatican,Good,46
2023-04-13,Venezuela,Good,46
2023-04-13,Vietnam,Unhealthy for Sensitive Groups,134
2023-04-13,Zambia,Good,39
2023-04-20,Albania,Good,19
2023-04-20,Algeria,Moderate,53
2023-04-20,Andorra,Good,30
2023-04-20,Angola,Moderate,71
2023-04-20,Argentina,Good,50
2023-04-20,Armenia,Good,27
2023-04-20,Australia,Good,32
2023-04-20,Austria,Moderate,60
2023-04-20,Azerbaijan,Good,43
2023-04-20,Bahrain,Unhealthy,153
2023-04-20,Bangladesh,Unhealthy,163
2023-04-20,Belarus,Moderate,68
2023-04-20,Belgium,Moderate,51
2023-04-20,Belize,Good,12
2023-04-20,Bermuda,Good,12
2023-04-20,Bolivia,Good,4
2023-04-20,Bosnia and Herzegovina,Moderate,69
2023-04-20,Brazil,Moderate,55
2023-04-20,Brunei,Good,14
